ID	Marine	Freshwater	Terrestrialr
Bacteria|Actinobacteriota|Thermoleophilia|RBG-16-64-13|RBG-16-64-13	1	1	1
Bacteria|Actinobacteriota|Thermoleophilia|Solirubrobacterales|70-9	1	1	1
Bacteria|Actinobacteriota|Thermoleophilia|Solirubrobacterales|JACPNS01	1	1	1
Bacteria|Actinobacteriota|Thermoleophilia|Solirubrobacterales|Solirubrobacteraceae	1	1	1
Bacteria|Actinobacteriota|Thermoleophilia|Solirubrobacterales|Thermoleophilaceae	1	1	1
Bacteria|Actinobacteriota|Thermoleophilia|UBA2241|UBA2241	1	1	1
Bacteria|Actinobacteriota|UBA4738|AC-67|AC-67	1	1	1
Bacteria|Actinobacteriota|UBA4738|CADDZG01|CADDZG01	1	1	1
Bacteria|Actinobacteriota|UBA4738|CADDZG01|WHSQ01	1	1	1
Bacteria|Actinobacteriota|UBA4738|UBA4738|HRBIN12	1	1	1
Bacteria|Actinobacteriota|UBA4738|UBA4738|JACQTL01	1	1	1
Bacteria|Actinobacteriota|UBA4738|UBA4738|UBA4738	1	1	1
Bacteria|Aerophobota|Aerophobia|Aerophobales|AE-B3A	1	1	1
Bacteria|Aerophobota|Aerophobia|Aerophobales|Aerophobaceae	1	1	1
Bacteria|Aerophobota|Aerophobia|Aerophobales|B3-G15	1	1	1
Bacteria|Aerophobota|Aerophobia|Aerophobales|B47-G16	1	1	1
Bacteria|Aquificota|Aquificae|Aquificales|Aquificaceae	1	1	1
Bacteria|Aquificota|Aquificae|Aquificales|Hydrogenobaculaceae	1	1	1
Bacteria|Aquificota|Aquificae|Aquificales|QOAS01	1	1	1
Bacteria|Aquificota|Aquificae|Hydrogenothermales|Hydrogenothermaceae	1	1	1
Bacteria|Aquificota|Desulfurobacteriia|Desulfurobacteriales|Desulfurobacteriaceae	1	1	1
Bacteria|Aquificota|Desulfurobacteriia|Desulfurobacteriales|DQVG01	1	1	1
Bacteria|Armatimonadota|Abditibacteria|Abditibacteriales|Abditibacteriaceae	1	1	1
Bacteria|Armatimonadota|Abditibacteria|CG2-30-59-28|CG2-30-59-28	1	1	1
Bacteria|Armatimonadota|Abditibacteria|CG2-30-66-41|CG2-30-66-41	1	1	1
Bacteria|Armatimonadota|Armatimonadia|Armatimonadales|Armatimonadaceae	1	1	1
Bacteria|Armatimonadota|Armatimonadia|Armatimonadales|Capsulimonadaceae	1	1	1
Bacteria|Armatimonadota|CAIYQO01|CAIYQO01|CAIYQO01	1	1	1
Bacteria|Armatimonadota|CAIYQO01|WVXJ01|DTIZ01	1	1	1
Bacteria|Armatimonadota|CAIYQO01|WVXJ01|WVXJ01	1	1	1
Bacteria|Armatimonadota|Chthonomonadetes|Chthonomonadales|CAJBBX01	1	1	1
Bacteria|Armatimonadota|Chthonomonadetes|Chthonomonadales|Chthonomonadaceae	1	1	1
Bacteria|Armatimonadota|DTGP01|DTGP01|DTGP01	1	1	1
Bacteria|Armatimonadota|Fimbriimonadia|Fimbriimonadales|ATM1	1	1	1
Bacteria|Armatimonadota|Fimbriimonadia|Fimbriimonadales|Fimbriimonadaceae	1	1	1
Bacteria|Armatimonadota|Fimbriimonadia|Fimbriimonadales|GBS-DC	1	1	1
Bacteria|Armatimonadota|HRBIN16|HRBIN16|HRBIN16	1	1	1
Bacteria|Armatimonadota|HRBIN17|HRBIN17|DRYI01	1	1	1
Bacteria|Armatimonadota|HRBIN17|HRBIN17|HRBIN17	1	1	1
Bacteria|Armatimonadota|SYMT01|JAAZEB01|JAAZEB01	1	1	1
Bacteria|Armatimonadota|SYMT01|SYMT01|JACQGL01	1	1	1
Bacteria|Armatimonadota|SYMT01|SYMT01|SYMT01	1	1	1
Bacteria|Armatimonadota|UBA10988|UBA10988|DTZQ01	1	1	1
Bacteria|Armatimonadota|UBA10988|UBA10988|UBA10988	1	1	1
Bacteria|Armatimonadota|UBA5377|UBA1398|UBA1398	1	1	1
Bacteria|Armatimonadota|UBA5377|UBA5377|FEN-943	1	1	1
Bacteria|Armatimonadota|UBA5377|UBA5377|JAAYIR01	1	1	1
Bacteria|Armatimonadota|UBA5377|UBA5377|JABLXH01	1	1	1
Bacteria|Armatimonadota|UBA5377|UBA5377|JABUFB01	1	1	1
Bacteria|Armatimonadota|UBA5377|UBA5377|UBA11051	1	1	1
Bacteria|Armatimonadota|UBA5377|UBA5377|UBA5352	1	1	1
