ID	niches
anoxic_mOTU_1716	Freshwater
3300013093_26	Freshwater
3300013094_16	Freshwater
3300013094_26	Freshwater
3300023174_71	Freshwater
3300027796_15	Freshwater
3300027800_19	Freshwater
anoxic_mOTU_1424	Freshwater
anoxic_mOTU_0221	Freshwater
anoxic_mOTU_1992	Freshwater
anoxic_mOTU_2379	Freshwater
anoxic_mOTU_0748	Freshwater
3300027899_14	Freshwater
3300028553_33	Freshwater
anoxic_mOTU_0552	Freshwater
3300013137_25	Freshwater
3300027835_34	Freshwater
3300027815_62	Freshwater
3300027815_70	Freshwater
3300013137_196	Freshwater
3300027760_27	Freshwater
3300017451_12	Freshwater
3300024333_14	Freshwater
3300017477_6	Freshwater
3300017526_42	Freshwater
3300017431_42	Freshwater
3300009083_43	Freshwater
3300020596_18	Freshwater
3300027878_38	Freshwater
3300013122_5	Freshwater
3300013126_25	Freshwater
3300013093_50	Freshwater
3300013094_38	Freshwater
3300010157_11	Freshwater
3300028569_29	Freshwater
3300009084_84	Freshwater
3300013136_32	Freshwater
3300022743_11	Freshwater
3300027747_40	Freshwater
3300013125_8	Freshwater
3300013136_12	Freshwater
3300013137_12	Freshwater
3300013138_11	Freshwater
anoxic_mOTU_2732	Freshwater
3300013123_27	Freshwater
3300013125_25	Freshwater
3300013131_38	Freshwater
3300013136_30	Freshwater
3300013137_37	Freshwater
3300013138_37	Freshwater
anoxic_mOTU_1908	Freshwater
anoxic_mOTU_0820	Freshwater
anoxic_mOTU_1401	Freshwater
anoxic_mOTU_1717	Freshwater
anoxic_mOTU_1853	Freshwater
3300021517_5	Freshwater
anoxic_mOTU_0960	Freshwater
3300020183_42	Freshwater
3300020190_51	Freshwater
3300020196_52	Freshwater
3300020198_54	Freshwater
3300020204_55	Freshwater
3300020221_58	Freshwater
3300020578_60	Freshwater
3300021091_59	Freshwater
3300021093_51	Freshwater
3300027732_7	Freshwater
3300027756_15	Freshwater
3300027772_1	Freshwater
3300027892_39	Freshwater
3300013131_68	Freshwater
3300020179_39	Freshwater
3300020220_62	Freshwater
3300020221_60	Freshwater
3300021091_45	Freshwater
3300021092_35	Freshwater
3300017788_72	Freshwater
3300020190_70	Freshwater
3300020578_84	Freshwater
3300027730_44	Freshwater
3300000234_64	Freshwater
3300014203_32	Freshwater
3300027800_80	Freshwater
anoxic_mOTU_1225	Freshwater
3300027796_29	Freshwater
3300027800_10	Freshwater
3300012682_32	Freshwater
3300028571_14	Freshwater
3300020074_36	Freshwater
3300020201_26	Freshwater
anoxic_mOTU_1062	Freshwater
anoxic_mOTU_2104	Freshwater
3300020578_42	Freshwater
3300021091_41	Freshwater
anoxic_mOTU_1250	Freshwater
3300013128_49	Freshwater
3300027819_31	Freshwater
3300020186_16	Freshwater
3300020192_20	Freshwater
3300020201_29	Freshwater
3300020219_19	Freshwater
3300017477_4	Freshwater
anoxic_mOTU_1920	Freshwater
3300027649_26	Freshwater
3300013093_38	Freshwater
anoxic_mOTU_1704	Freshwater
3300013286_8	Freshwater
3300025376_2	Freshwater
3300025436_6	Freshwater
3300025476_7	Freshwater
anoxic_mOTU_3265	Freshwater
3300018018_15	Freshwater
3300027896_52	Freshwater
3300012000_4	Freshwater
3300012006_5	Freshwater
3300027760_13	Freshwater
3300013137_80	Freshwater
3300027819_59	Freshwater
3300020197_37	Freshwater
3300005858_18	Freshwater
3300005858_26	Freshwater
3300027796_44	Freshwater
3300027815_41	Freshwater
anoxic_mOTU_0603	Freshwater
3300027796_43	Freshwater
3300027800_41	Freshwater
3300027719_37	Freshwater
3300027800_49	Freshwater
3300027841_15	Freshwater
anoxic_mOTU_0602	Freshwater
3300027819_48	Freshwater
3300027835_39	Freshwater
3300027819_61	Freshwater
3300020198_36	Freshwater
3300027897_31	Freshwater
3300019742_4	Freshwater
3300019754_5	Freshwater
3300019760_7	Freshwater
3300000228_27	Freshwater
3300014162_15	Freshwater
3300014656_53	Freshwater
3300007722_34	Freshwater
3300027976_36	Freshwater
3300020057_22	Freshwater
3300027649_6	Freshwater
3300027782_6	Freshwater
anoxic_mOTU_2740	Freshwater
3300023184_22	Freshwater
3300027760_9	Freshwater
anoxic_mOTU_1329	Freshwater
3300027746_5	Freshwater
3300023179_71	Freshwater
3300028581_72	Freshwater
3300017788_30	Freshwater
3300020198_19	Freshwater
3300024289_1	Freshwater
3300024298_2	Freshwater
3300024306_1	Freshwater
3300024351_1	Freshwater
3300024352_1	Freshwater
3300024355_1	Freshwater
3300024356_3	Freshwater
3300024357_2	Freshwater
3300024502_2	Freshwater
3300027503_4	Freshwater
3300024507_3	Freshwater
3300024509_3	Freshwater
3300024514_2	Freshwater
3300024515_3	Freshwater
3300026455_1	Freshwater
3300026457_1	Freshwater
3300026473_2	Freshwater
3300027467_1	Freshwater
3300027541_1	Freshwater
3300028275_3	Freshwater
3300027976_32	Freshwater
3300027983_23	Freshwater
3300027137_4	Freshwater
3300027302_5	Freshwater
3300027489_5	Freshwater
3300027494_5	Freshwater
3300027697_4	Freshwater
anoxic_mOTU_0809	Freshwater
3300027719_55	Freshwater
3300027796_72	Freshwater
3300027800_74	Freshwater
3300007519_118	Freshwater
3300027832_115	Freshwater
3300020186_19	Freshwater
3300020195_8	Freshwater
3300007722_62	Freshwater
3300027983_46	Freshwater
3300007722_52	Freshwater
3300027976_56	Freshwater
3300027983_40	Freshwater
3300010160_33	Freshwater
3300027656_9	Freshwater
3300027815_20	Freshwater
3300017453_2	Freshwater
3300020179_13	Freshwater
3300020183_14	Freshwater
3300020578_19	Freshwater
3300005662_6	Freshwater
anoxic_mOTU_0423	Freshwater
anoxic_mOTU_0450	Freshwater
anoxic_mOTU_0943	Freshwater
3300013126_50	Freshwater
3300013131_61	Freshwater
anoxic_mOTU_1672	Freshwater
3300020084_18	Freshwater
3300020193_11	Freshwater
3300020200_15	Freshwater
3300020222_26	Freshwater
3300020603_19	Freshwater
anoxic_mOTU_0690	Freshwater
anoxic_mOTU_1392	Freshwater
anoxic_mOTU_2826	Freshwater
anoxic_mOTU_0630	Freshwater
anoxic_mOTU_1957	Freshwater
anoxic_mOTU_1164	Freshwater
anoxic_mOTU_1025	Freshwater
3300009083_47	Freshwater
anoxic_mOTU_2932	Freshwater
3300014167_3	Freshwater
3300027770_3	Freshwater
anoxic_mOTU_1124	Freshwater
3300027843_17	Freshwater
anoxic_mOTU_2931	Freshwater
anoxic_mOTU_3353	Freshwater
3300027299_1	Freshwater
anoxic_mOTU_0668	Freshwater
anoxic_mOTU_1665	Freshwater
3300013131_18	Freshwater
3300013132_18	Freshwater
anoxic_mOTU_1580	Freshwater
anoxic_mOTU_2333	Freshwater
3300013004_33	Freshwater
3300013005_30	Freshwater
anoxic_mOTU_2292	Freshwater
3300007519_24	Freshwater
3300007722_13	Freshwater
3300027832_22	Freshwater
3300027976_20	Freshwater
anoxic_mOTU_2873	Freshwater
3300027760_19	Freshwater
